COPD Mortality Rate,% Unemployed,% Rural,% Severe Housing Cost Burden,% households wo car,Number of Hospitals,% disabled,% Fair or Poor Health,% Severe Housing Problems,% Enrolled in Free or Reduced Lunch,% Single-Parent Households,Hypertension Death Rate,% Adults 65 and Older,covid_cases,Income Ratio,% Without Health Insurance,% Children in Poverty,% Limited English Proficiency,% Diagnosed Diabetes,High School Graduation Rate,Primary Care Physicians Rate,opioid death rate,Heart Disease Death Rate,% Nonwhite,% workers commuting by public transit,%  Adults with Obesity,% Smokers,% Veterans in Civilian Adult Population
73.41,3.6290788610000004,42.00216232,13.40348117,0.056568823,1,19.3,20.88298733,14.66346154,43.40867308,26.24267908,179.6,15.972999999999999,1818,5.234597269,10.0,19.3,0.653563817,11.4,90.0,45.0418,8.992644017,388.7,23.12137681,0.1,32.7,18.08155718,12.283
45.27,3.6153821560000003,42.27909911,11.72580795,0.035529927999999995,4,14.0,17.50913436,13.56620093,48.48656472,24.13960145,143.4,20.978,6048,4.417766679,13.2,13.9,1.424537661,8.2,86.3615768,72.89726999999999,6.42137032,362.6,13.733800400000002,0.1,30.1,17.4890326,11.937999999999999
60.07,5.171384211,67.78963470000001,14.05954631,0.09237297400000001,1,22.2,29.59180171,14.58333333,63.29230204,56.60342605,217.2,19.691,921,5.681410018999999,13.5,43.9,1.4696276940000002,15.1,81.41025641,31.65809,20.09565532,444.3,52.61810566,0.3,41.2,21.99998453,7.672000000000001
75.08,3.9718277339999997,68.35260746,9.886874322,0.059282822,1,16.7,19.43972416,10.4964539,61.56211562,28.68923611,143.3,16.67,678,4.368580511,10.6,27.8,0.687134503,12.2,83.76383764,48.526559999999996,22.32142857,491.8,23.34531895,0.5,37.4,19.11419989,7.152
78.32,3.511157322,89.95150204,8.462257294,0.041372644,1,14.2,21.74529281,10.54801164,52.90628707,28.56182796,112.4,18.701,1655,4.430262332,14.1,18.0,1.461165049,12.2,93.46879536,22.40877,8.644536653,437.9,4.494752364,0.1,32.5,19.20867197,8.532
41.85,4.690117253,51.37438153,18.50152905,0.11525885599999999,1,14.4,30.99910185,18.14345992,75.78659371,74.78991597,322.5,16.939,613,7.4101959939999995,11.9,68.3,1.052923247,27.9,70.24793388,29.100790000000003,49.31939239,456.3,78.01391036,0.0,46.4,22.89466401,4.34
65.89,4.790217635,71.23215735,11.54595648,0.073758865,2,17.7,27.91067318,13.15960912,79.15713819,52.71283635,306.8,20.82,924,5.423595582000001,11.9,36.3,0.447227191,17.0,81.58995816,25.220679999999998,25.40650407,456.4,47.99500624,0.0,47.3,21.76533496,7.6
78.86,4.652832159,33.69682556,11.72243222,0.057628772,4,20.8,23.10773322,13.73419126,58.83759322,40.19194475,72.1,18.086,3660,5.0238964489999995,11.1,26.5,1.048120267,15.2,92.36804565,63.62876,4.375333619,630.3,25.66508541,0.3,39.7,20.61256038,10.655999999999999
74.48,3.908091123,49.14803449,12.38102792,0.072221411,1,16.7,23.9954736,15.956678699999998,71.12135177,46.55544369,343.8,20.192999999999998,1204,4.744932135,11.6,30.7,0.569695176,15.6,86.23853211,41.52701,14.87431206,366.8,42.40229409,0.2,42.0,19.39292705,8.24
84.73,3.5708139739999996,85.73627304,9.945695897,0.040296434,1,20.0,20.6984706,13.0,61.60624371,23.77874929,124.8,23.53,639,4.708465031,13.5,24.7,0.744861399,12.0,94.90445859999998,38.67425,19.20712969,442.1,7.179050787,0.2,38.1,17.49867379,10.142000000000001
